p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
1 0 2.62617286417875 0.945 0.267 0 0 Dapl1
2 0 2.16776912979807 0.88 0.213 0 0 Trp63
3 0 2.52549883733091 0.932 0.277 0 0 Igfbp7
4 0 2.50370887186192 0.788 0.15 0 0 Lamb3
5 0 2.11431125483699 0.798 0.168 0 0 Cdh13
6 0 2.07412393707858 0.906 0.296 0 0 Bcam
7 0 2.39512796039184 0.931 0.334 0 0 Pdpn
8 0 2.4858386905078 0.949 0.352 0 0 Abi3bp
9 0 2.6252056161267 0.741 0.146 0 0 Cacna2d1
10 0 1.86557930782853 0.891 0.304 0 0 Sult1d1
11 0 2.30447669846091 0.777 0.19 0 0 Crlf1
12 0 2.41098890886504 0.74 0.157 0 0 4631405K08Rik
13 0 2.29077705614341 0.718 0.139 0 0 Jag2
14 0 2.5598931003708 0.738 0.163 0 0 Sorcs2
15 0 1.84681532402486 0.855 0.294 0 0 Defb1
16 0 1.91948145594745 0.777 0.221 0 0 Atp6v1c2
17 0 2.11913754118154 0.804 0.249 0 0 Amotl1
18 0 1.86953855948365 0.776 0.225 0 0 Lgr6
19 0 3.19148118174671 0.62 0.084 0 0 Synpr
20 0 2.51151908237303 0.767 0.235 0 0 Slc16a7
21 0 3.80775344241781 0.585 0.055 0 0 Gfra1
22 0 1.92894885598861 0.922 0.393 0 0 Dst
23 0 2.21192615184443 0.695 0.173 0 0 Btbd11
24 0 2.12491265488647 0.721 0.2 0 0 Fat2
25 0 2.80086657468406 0.625 0.11 0 0 Gdpd2
26 0 2.20696919455459 0.982 0.472 0 0 Rbms3
27 0 1.85229413969454 0.781 0.272 0 0 Hlf
28 0 2.37650885637671 0.746 0.238 0 0 Cav1
29 0 1.84156189232676 0.734 0.232 0 0 Rnase4
30 0 2.59742012636787 0.604 0.106 0 0 Pcsk5
31 0 2.02287611403292 0.681 0.186 0 0 Ptpre
32 0 2.78992576180092 0.587 0.093 0 0 Hs6st2
33 0 1.96257309043299 0.673 0.19 0 0 1700025G04Rik
34 0 2.58573869101533 0.635 0.163 0 0 Grid2
35 0 3.43681741100646 0.505 0.055 0 0 Ugt2b34
36 0 3.26579350265145 0.519 0.069 0 0 Epb41l3
37 0 2.25932831928649 0.58 0.131 0 0 Bmp5
38 0 2.02141764171735 0.979 0.554 0 0 Pde7a
39 0 2.5696294571705 0.494 0.082 0 0 Sulf1
40 4.52058559141091e-305 1.90515936805771 0.685 0.195 7.10997701817109e-301 0 P3h2
41 3.85058485221551e-300 2.34168487729651 0.621 0.165 6.05619985556455e-296 0 Gli3
42 6.40951801576903e-299 1.84732052577457 0.695 0.222 1.00808899352015e-294 0 Rgs12
43 2.16842436190543e-291 2.01900639970196 0.72 0.244 3.41049783640486e-287 0 Col4a6
44 5.71507265494369e-291 2.96192358316377 0.438 0.069 8.98866627169544e-287 0 Sgcd
45 7.01514736459244e-284 3.69507156905293 0.291 0.021 1.1033423775031e-279 0 Bmp3
46 1.89129865943458e-282 1.90902190794531 0.797 0.354 2.97463453155871e-278 0 Slc9a9
47 1.7027391888709e-279 1.96456986902039 0.564 0.135 2.67806819625615e-275 0 Cdh3
48 6.59117328861005e-279 2.04615658724512 0.642 0.198 1.03665973483259e-274 0 Abca1
49 3.6997162813788e-270 2.51512058697754 0.612 0.176 5.81891376735257e-266 0 Nrg1
50 1.00194426902886e-266 2.35471733422107 0.54 0.135 1.57585794632859e-262 0 Lrp4
51 3.89750066260303e-263 1.93465634404593 0.612 0.172 6.12998904214204e-259 0 Slc24a3
52 1.80408229403931e-261 3.19664616921442 0.314 0.032 2.83746063206502e-257 0 Dscaml1
53 3.07185316152801e-261 1.91972608768266 0.375 0.053 4.83141065245125e-257 0 Nrxn1
54 3.14006001794556e-253 2.07866903103191 0.601 0.182 4.93868639622478e-249 0 Olfml2a
55 7.02122039031882e-253 1.89457603527194 0.563 0.143 1.10429754298934e-248 0 Vsnl1
56 9.24247873793219e-249 3.39419620810525 0.295 0.029 1.45365705590198e-244 0 Acaa1b
57 3.35424397343731e-248 2.01448947303341 0.431 0.079 5.2755549214222e-244 0 Snai2
58 1.50262470975259e-243 2.72536126466011 0.374 0.06 2.36332814349887e-239 0 Mtcl1
59 1.83996695901851e-243 2.1847207692322 0.437 0.083 2.89390003314431e-239 0 Dlk2
60 3.16795709046124e-243 1.97867469527704 0.61 0.192 4.98256291187744e-239 0 Cavin2
61 1.53098248134264e-242 2.9102207282607 0.356 0.054 2.40792924665571e-238 0 Baiap2l2
62 2.11796482978285e-238 2.08117256002144 0.629 0.205 3.33113508428247e-234 0 Adamtsl1
63 1.86334628538694e-236 2.0679594524168 0.525 0.138 2.93067103765658e-232 0 Fermt1
64 2.08256061737607e-236 2.28752127291943 0.624 0.212 3.27545133900909e-232 0 Eda
65 1.24665526244376e-228 3.39484369204214 0.351 0.056 1.96073939677155e-224 0 Pcdh9
66 1.96867988023335e-225 3.42268101900474 0.282 0.031 3.09633971563102e-221 0 Tmem108
67 4.69815364016139e-225 2.12671222033478 0.444 0.102 7.38925604524583e-221 0 Lmo1
68 5.7677273480357e-223 2.33062802129532 0.44 0.097 9.07148157299055e-219 0 Ntf3
69 1.76177315976393e-216 2.20228587017492 0.378 0.07 2.77091682567671e-212 0 Ngfr
70 2.36090613572243e-211 1.89814666031421 0.483 0.13 3.71323317026424e-207 0 Pak6
71 2.26859062330468e-210 1.84839284477508 0.7 0.298 3.5680393323336e-206 0 Gm20186
72 9.90520430169009e-197 3.06427041359658 0.282 0.039 1.55789053256982e-192 0 Egfl6
73 2.3363108055075e-195 2.03009762384883 0.568 0.207 3.6745496349022e-191 0 Gprin3
74 1.81795917330497e-191 1.84146956000068 0.435 0.111 2.85928618777406e-187 0 Dlc1
75 1.37036433761284e-185 2.01043589900281 0.382 0.085 2.15530903019747e-181 0 Procr
76 2.50854914428207e-185 1.95412623444497 0.414 0.104 3.94544609412685e-181 0 Nrg2
77 5.36200991519748e-182 2.07220383125489 0.355 0.074 8.43336919462259e-178 0 Mpdz
78 8.77391423076016e-179 2.94390917353631 0.268 0.039 1.37996123021396e-174 0 Papln
79 2.42828573291777e-173 1.91395043490536 0.436 0.118 3.81920780073307e-169 0 Robo2
80 3.94661832962002e-173 2.59038383967262 0.312 0.06 6.20724130882637e-169 0 Fads1
81 3.64687700581122e-171 2.44346472166162 0.372 0.09 5.73580815473989e-167 0 Magi2
82 2.29140573601441e-169 2.2074103794877 0.344 0.074 3.60392294160347e-165 0 Zc3h12b
83 5.80587994512854e-169 2.13692719607063 0.306 0.057 9.13148797769816e-165 0 Adamtsl3
84 4.51627251800213e-166 2.14748600810029 0.305 0.059 7.10319341631374e-162 0 Slc12a4
85 3.31165860315209e-165 1.89783052070568 0.416 0.118 5.2085766510376e-161 0 Ang
86 6.73324074321691e-163 1.88748396536638 0.433 0.125 1.05900410409316e-158 0 Flrt2
87 4.57372324211658e-161 2.01992980677468 0.424 0.123 7.19355191520096e-157 0 Phldb2
88 9.86578593934007e-150 2.20452141462207 0.348 0.088 1.55169081253941e-145 0 Pdk4
89 1.03938540259533e-147 1.95678751960831 0.336 0.083 1.63474536120193e-143 0 Cd80
90 3.85524506630838e-142 1.9867546665522 0.326 0.081 6.06352944028983e-138 0 Ptgs1
91 7.49026849655833e-141 2.19083528915973 0.275 0.056 1.17806942913869e-136 0 Col7a1
92 1.12434667531836e-139 2.30519789506523 0.265 0.051 1.76837245094071e-135 0 Nwd1
93 1.90382851562856e-139 1.96594778623969 0.334 0.086 2.9943414893806e-135 0 P2ry1
94 6.98485611163596e-123 2.20892825382297 0.268 0.061 1.0985781692381e-118 0 Lrrn3
95 1.71439126877172e-122 2.27749815360052 0.303 0.081 2.69639458752417e-118 0 Susd4
96 4.83262948322369e-122 2.02083381526296 0.321 0.09 7.60075965121422e-118 0 Ntf5
97 3.60241031015418e-112 1.88427940940366 0.331 0.103 5.66587093581049e-108 0 Ppara
98 8.72678709632255e-109 2.04098290247355 0.265 0.066 1.37254907450961e-104 0 St3gal2
99 6.8835453221126e-108 1.94670288984691 0.274 0.073 1.08264400826187e-103 0 Hunk
100 7.43457419004964e-97 1.83517278545886 0.253 0.067 1.16930982861101e-92 0 Fras1
101 0 2.39645919565023 0.761 0.198 0 1 Sec14l3
102 0 1.69027517498492 0.908 0.368 0 1 Muc16
103 0 2.15784428185902 0.924 0.385 0 1 Cyp2a5
104 0 2.04774490020779 0.894 0.359 0 1 Ccdc129
105 0 2.29039518175837 0.8 0.281 0 1 St3gal5
106 0 1.74476627629479 0.942 0.454 0 1 Gabrp
